2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LDOUSDT | usage=369.23% | current_oi=2455379.75 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LIGHTUSDT | usage=3392.39% | current_oi=8311350.06 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LINEAUSDT | usage=108859.35% | current_oi=266705407.9 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LISTAUSDT | usage=4425.54% | current_oi=7191507.0 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1009].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LPTUSDT | usage=253.38% | current_oi=1279559.25 | limit=505000.0 | threshold=95.00% | source=leverageMargins[1013].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LQTYUSDT | usage=402.50% | current_oi=2676592.05 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LRCUSDT | usage=10102.19% | current_oi=16416063.0 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1009].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LSKUSDT | usage=1711.40% | current_oi=17113978.0 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LUNA2USDT | usage=3090.49% | current_oi=20551747.5 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LUNCUSDT | usage=632050.35% | current_oi=35394819562.975 | limit=5600000.0 | threshold=95.00% | source=leverageMargins[1005].items[-1].notionalValueRv
